MAC	PHomMin	PHet	PHomMaj
1	0.0683717138781	0.0494956185042	0.882132667618
2	0.100173165343	0.030524870126	0.869301964531
3	0.0586763908143	0.0612982942559	0.88002531493
4	0.0969492270642	0.0147892038812	0.888261569055
5	0.103726822104	0.0642555535157	0.83201762438
6	0.150625217445	0.0176206945951	0.83175408796
7	0.138826663438	0.0728945934492	0.788278743113
8	0.205138951577	0.0118640789219	0.782996969502
9	0.174710697149	0.128704487722	0.696584815128
10	0.360982849604	0.0742084432718	0.564808707124
11	0.229916897507	0.120775623269	0.649307479224
12	0.335005486753	0.0634895751685	0.601504938078
13	0.302762430939	0.153959484346	0.543278084715
14	0.372722175498	0.087608634707	0.539669189795
15	0.382931865107	0.0850653819683	0.532002752925
16	0.400550473569	0.0344855500688	0.564963976362
17	0.331989634322	0.23293982148	0.435070544198
18	0.345735684948	0.211162116453	0.443102198599
19	0.315240083507	0.325678496868	0.359081419624
20	0.37111038323	0.281690140845	0.347199475925
21	0.336371168186	0.477837613919	0.185791217896
