MAC	PHomMin	PHet	PHomMaj
1	0.0329529243937	0.0730385164051	0.894008559201
2	0.106314878893	0.0398356401384	0.853849480969
3	0.083542108306	0.104162651763	0.812295239931
4	0.13105834145	0.0317401672656	0.837201491284
5	0.118222308288	0.0985670023238	0.783210689388
6	0.16675823288	0.0201014769092	0.813140290211
7	0.126823664561	0.129810453762	0.743365881677
8	0.201720014249	0.0379624446593	0.760317541092
9	0.230629475259	0.138399059528	0.630971465213
10	0.244486010443	0.066401683423	0.689112306134
11	0.276551436901	0.188671386922	0.534777176177
12	0.258104125737	0.180500982318	0.561394891945
13	0.251580278129	0.255653883972	0.492765837899
14	0.349100546097	0.0820751686476	0.568824285255
15	0.256269041481	0.418678228263	0.325052730255
16	0.223721191681	0.416713509462	0.359565298857
17	0.12503461645	0.682220991415	0.192744392135
18	0.203013863773	0.574804098855	0.222182037372
19	0.366071428571	0.437173344948	0.196755226481
20	0.105320219933	0.84074188802	0.0539378920468
