SampleName  All Nonmasked
6B01-2218	31468312	30133714
6B03-4304	32128404	30858579
6B03-4478	24756774	23750361
6B04-0290	32386334	31034930
6B05-0922	31107066	29809755
6B06-1132	28973464	27789180
FEG141-20	33410392	32096111
FEG153-58	37329008	35848510
FEG154-47	43447962	41747013
FEG175-57	52810222	50749500
FEG183-52	24110614	23120525
M138	8612898	8049645
ND20448	28281360	27145110
ND24906	26299908	25179805
ND25160	31682430	30311034
ND25652	28941396	27714233
ND25728	33773064	32204687
ND25986	34758866	33318473
ND26036	32742834	31511038
ND26104	35278702	33943816
