Observed Predicted
5237.953435 5644.38
5513.732541 NA
5006.850264 NA
4748.92666 NA
5378.390425 5359.35
4551.395989 NA
4635.996681 NA
5103.954618 5296.61
6393.927861 5322.2
5437.788059 NA
5266.491037 NA
5435.176522 NA
5815.993971 NA
5465.502382 NA
6096.972599 NA
5213.759794 5420.27
5177.80608 NA
4865.909583 NA
5133.459518 5349.57
5609.02694 NA
5608.049648 5240.34
5717.189678 5287.3
6157.659343 5875.87
6739.452158 NA
6284.217868 NA
6319.896815 NA
5171.585255 NA
6860.108932 NA
6661.790823 NA
6903.620924 5859.79
5107.082126 NA
7107.923941 NA
6962.645638 5670.56
5687.579962 NA
5913.830868 NA
6159.114112 NA
5297.972444 NA
6597.001465 NA
6567.999697 NA
6923.113379 NA
5620.930163 NA
5349.118694 NA
6495.090124 5637.45
6969.134225 NA
5060.889438 NA
5637.800399 NA
4516.860254 NA
5798.343385 NA
6273.801661 5704.81
5758.760014 5575.68
6230.406284 5757.23
5219.397036 NA
5712.937134 6325.63
6903.936416 NA
7055.976973 6320.03
5616.292004 6316
4658.144472 NA
5738.532125 NA
7516.152155 NA
7361.141797 NA
6070.448663 NA
6032.35784 NA
6383.66645 5490.37
5437.178645 NA
6849.168901 NA
5107.160402 5678.88
5105.143161 NA
4802.9316 NA
4827.749223 NA
4404.890075 NA
4952.825174 NA
5993.967984 5099.55
4134.039143 NA
5558.494971 NA
5356.208278 NA
5968.978911 NA
5111.997856 NA
5198.13412 NA
4803.470641 NA
5796.86093 NA
6360.700214 NA
5240.51404 NA
6437.169086 NA
5654.702183 6005.5
5673.738942 NA
4513.618828 NA
5910.19332 NA
5058.979591 NA
5046.919518 NA
3574.196149 NA
6046.170119 NA
6819.864422 NA
5117.670049 5986.12
5095.697636 NA
6186.527614 5541.64
5022.134173 NA
5186.190276 5814.06
6314.943788 NA
5439.004787 NA
5286.893097 NA
5052.70362 NA
5674.472027 5625.24
6824.413443 NA
4822.937569 NA
7171.8033 NA
4992.901114 NA
4829.99952 NA
5032.454118 NA
4215.306072 NA
6004.803586 NA
6605.759472 NA
5084.160678 NA
6280.182588 NA
6227.309896 NA
4786.304973 NA
7195.925538 NA
6483.332263 NA
5494.901974 NA
7053.342255 NA
6676.101875 NA
6206.416364 NA
6650.587511 NA
6778.424157 NA
6580.170783 NA
4779.534852 NA
6051.746127 NA
5261.936149 5521.78
5947.971618 NA
6363.671859 5595.91
6558.096627 NA
4895.326075 NA
6545.993327 5516.13
6518.778473 NA
6374.895439 NA
6167.549883 NA
5916.025999 NA
5562.975398 NA
5869.640116 NA
5127.141312 NA
6492.438195 NA
4647.263616 NA
5808.809503 NA
4745.091813 NA
5101.2573 5714.22
5284.827151 NA
7025.980482 NA
5237.005478 NA
6002.152712 NA
5304.915109 5925.65
6739.457757 5791.38
5544.284309 NA
5269.415914 NA
5325.941597 NA
5953.017141 5519.73
4996.947236 NA
4969.826912 NA
6475.583242 NA
4958.306007 NA
7131.137366 NA
7096.854579 NA
6353.026112 NA
7021.018732 NA
5262.862335 6377.17
6715.308411 6310.47
6758.635278 NA
5785.207976 6030.08
5280.767303 NA
3188.015176 NA
6952.224425 5666.08
6192.45925 NA
5950.392982 NA
4668.307916 NA
5521.01074 NA
5134.50729 NA
6281.27715 NA
4709.882707 NA
5101.823599 NA
5913.198127 NA
5756.938555 NA
5320.290386 NA
5251.991655 NA
6071.920099 5549.48
5044.531174 5471.46
5154.933494 NA
6360.293563 NA
5717.644172 5600.35
5990.990384 NA
5989.798523 NA
6015.999942 NA
4920.514915 NA
5174.885185 NA
4629.307138 NA
6540.163293 NA
6499.415489 NA
3465.468479 NA
4737.807231 NA
5341.358282 NA
6714.268404 NA
5620.586147 NA
4810.973832 NA
5080.97214 NA
5283.17816 NA
5425.521801 5693.62
6303.534842 NA
6982.799562 NA
5405.842747 NA
5688.898309 NA
6997.185086 NA
5693.187172 5823.9
6108.42713 6057.03
5619.498763 5862.92
4955.466259 NA
5174.121982 NA
6306.06346 NA
5617.200856 5862.09
6521.07447 NA
6488.302381 NA
4982.909161 NA
6018.72609 NA
6880.222233 NA
4981.448634 NA
5595.872896 NA
3459.304201 NA
5893.24761 NA
6677.740437 NA
6474.494504 NA
5202.263224 NA
6919.442442 NA
5122.722108 NA
5752.950415 NA
6811.542758 5813.95
4284.443731 NA
6212.414664 NA
5181.276042 5694.51
5636.689345 NA
5144.4235 6091.29
5271.536208 6062.36
5650.555076 NA
5718.712699 NA
6497.309785 NA
5510.99386 NA
6760.290427 NA
6307.850805 5506.95
5565.186786 NA
6886.887401 5832.58
5890.878556 5676.44
5801.37659 NA
5351.402008 NA
7785.692313 NA
6918.330483 NA
6407.210388 6078.26
7348.68453 NA
6548.458568 NA
5749.379183 NA
6639.528588 NA
6307.701567 NA
6071.179508 NA
5511.316254 5813.42
5752.428429 NA
6021.658482 NA
6027.046956 NA
5139.988742 NA
6116.487419 NA
5869.055281 5814.9
6173.18801 5734.21
5395.31742 NA
6580.955708 NA
6916.135899 NA
6668.28402 NA
6851.116792 NA
6163.739242 5883.39
6339.514143 NA
5721.502081 NA
6805.524119 NA
6169.982866 NA
6180.585572 6049.5
6399.931377 5984.04
5736.962409 NA
6192.247608 NA
5668.57063 5662.96
6922.636477 NA
6151.997505 NA
6671.920596 NA
6500.674033 NA
7238.712378 NA
7030.56577 NA
6845.888491 NA
7013.458396 6504.25
6974.262264 NA
7411.980894 NA
6751.380145 6678.38
6107.176733 NA
7185.202122 NA
6442.161301 NA
7046.239031 NA
6018.917004 NA
6826.956283 NA
5108.140361 NA
6121.821617 NA
6104.853136 NA
6907.406114 6149.3
6785.268363 NA
6095.258321 NA
6041.972851 NA
6810.373971 NA
6411.97301 NA
6582.481666 NA
6650.571002 5982.44
6210.852613 6101.8
6319.324073 6121.64
6534.520664 NA
6744.039175 6020.87
5980.696552 NA
7188.478313 NA
6579.280131 NA
6846.074096 NA
6553.783807 6087.02
6335.958994 NA
6253.241356 NA
6279.379834 NA
7041.415725 NA
5554.702199 NA
5456.161152 NA
6399.376063 NA
7189.803846 NA
6410.29433 NA
5763.963165 NA
6309.71054 NA
6651.042215 NA
6249.130054 NA
5228.69933 NA
6000.203674 NA
6491.047123 5915.95
6024.036302 NA
5846.199905 NA
6785.089008 NA
5080.996885 NA
6524.551854 NA
7098.349445 NA
6491.890155 NA
6240.910927 NA
6743.86435 NA
6234.219997 NA
6180.00842 NA
6104.519858 NA
6524.028478 NA
6961.676891 5527.46
6649.731143 NA
6208.097459 NA
5786.803552 NA
6912.080399 NA
6756.65594 NA
6224.585339 5375.59
6600.264405 NA
5135.778423 NA
5615.737795 NA
5104.371859 NA
5454.747493 5746.71
6523.439426 NA
6396.575995 NA
6098.939569 NA
4961.042941 NA
5720.981703 NA
5277.99186 5742.86
6717.164202 NA
6640.032293 NA
6447.373114 NA
6017.618978 NA
4662.59637 NA
4981.43516 NA
5110.426727 NA
5372.018789 NA
5247.834297 NA
5659.275962 NA
5631.323987 NA
4856.636112 NA
4623.035076 NA
4848.827844 5713.2
5171.061067 NA
6577.213063 NA
5432.232111 NA
5162.768108 NA
6433.51826 NA
4882.136076 5901.97
6529.822669 5812.97
5109.489877 5673.8
5934.230832 5669.43
5047.7299 NA
5190.942698 NA
5129.065896 NA
5639.107591 NA
6293.912262 NA
5157.248338 NA
5250.438888 NA
4831.10133 NA
5240.228701 NA
5759.432166 NA
5386.893819 NA
5397.772183 NA
5717.644531 NA
5200.121165 5729.37
5056.827711 5717.03
4747.969561 NA
5112.434635 NA
5510.962073 NA
5007.902917 5652.12
5663.620972 5619.98
5690.244674 5831.08
5583.320174 NA
5238.906961 NA
4735.181107 NA
5802.663876 NA
5008.433261 NA
6194.509098 NA
6089.783016 NA
6671.648826 5619.43
6109.938606 5749.22
6366.52302 NA
5952.160777 NA
6323.678108 5756.33
6278.215775 NA
6248.127745 NA
4737.929166 5622.65
6265.978392 NA
6880.282592 NA
