LineID,MatID,PatID
MS11S2003-001,MS10S3004-014,MS10S3013-004
MS11S2003-002,MS10S3004-014,MS10S3013-004
MS11S2003-003,MS10S3004-014,MS10S3013-004
MS11S2003-004,MS10S3004-014,MS10S3013-004
MS11S2003-005,MS10S3004-014,MS10S3013-004
MS11S2003-006,MS10S3004-014,MS10S3013-004
MS11S2003-007,MS10S3004-014,MS10S3013-004
MS11S2003-008,MS10S3004-014,MS10S3013-004
MS11S2003-009,MS10S3004-014,MS10S3013-004
MS11S2003-010,MS10S3004-014,MS10S3013-004
MS11S2003-011,MS10S3004-014,MS10S3013-004
MS11S2003-012,MS10S3004-014,MS10S3013-004
MS11S2003-013,MS10S3004-014,MS10S3013-004
MS11S2003-014,MS10S3004-014,MS10S3013-004
MS11S2003-015,MS10S3004-014,MS10S3013-004
MS11S2003-016,MS10S3004-014,MS10S3013-004
MS11S2003-017,MS10S3004-014,MS10S3013-004
MS11S2003-018,MS10S3004-014,MS10S3013-004
MS11S2003-019,MS10S3004-014,MS10S3013-004
MS11S2003-020,MS10S3004-014,MS10S3013-004
MS11S2003-021,MS10S3004-014,MS10S3013-004
MS11S2003-022,MS10S3004-014,MS10S3013-004
MS11S2003-023,MS10S3004-014,MS10S3013-004
MS11S2003-024,MS10S3004-014,MS10S3013-004
MS11S2004-001,MS10S3007-003,MS10S3004-004
MS11S2004-002,MS10S3007-003,MS10S3004-004
MS11S2004-003,MS10S3007-003,MS10S3004-004
MS11S2004-004,MS10S3007-003,MS10S3004-004
MS11S2004-005,MS10S3007-003,MS10S3004-004
MS11S2004-006,MS10S3007-003,MS10S3004-004
MS11S2004-007,MS10S3007-003,MS10S3004-004
MS11S2004-008,MS10S3007-003,MS10S3004-004
MS11S2004-009,MS10S3007-003,MS10S3004-004
MS11S2004-010,MS10S3007-003,MS10S3004-004
MS11S2004-011,MS10S3007-003,MS10S3004-004
MS11S2004-012,MS10S3007-003,MS10S3004-004
MS11S2004-013,MS10S3007-003,MS10S3004-004
MS11S2004-014,MS10S3007-003,MS10S3004-004
MS11S2004-015,MS10S3007-003,MS10S3004-004
MS11S2004-016,MS10S3007-003,MS10S3004-004
MS11S2004-017,MS10S3007-003,MS10S3004-004
MS11S2004-018,MS10S3007-003,MS10S3004-004
MS11S2004-019,MS10S3007-003,MS10S3004-004
MS11S2004-020,MS10S3007-003,MS10S3004-004
MS11S2004-021,MS10S3007-003,MS10S3004-004
MS11S2004-022,MS10S3007-003,MS10S3004-004
MS11S2004-023,MS10S3007-003,MS10S3004-004
MS11S2004-024,MS10S3007-003,MS10S3004-004
MS11S2005-001,MS10S3008-003,MS10S3058-024
MS11S2005-002,MS10S3008-003,MS10S3058-024
MS11S2005-003,MS10S3008-003,MS10S3058-024
MS11S2005-004,MS10S3008-003,MS10S3058-024
MS11S2005-005,MS10S3008-003,MS10S3058-024
MS11S2005-006,MS10S3008-003,MS10S3058-024
MS11S2005-007,MS10S3008-003,MS10S3058-024
MS11S2005-008,MS10S3008-003,MS10S3058-024
MS11S2005-009,MS10S3008-003,MS10S3058-024
MS11S2005-010,MS10S3008-003,MS10S3058-024
MS11S2005-011,MS10S3008-003,MS10S3058-024
MS11S2005-012,MS10S3008-003,MS10S3058-024
MS11S2005-013,MS10S3008-003,MS10S3058-024
MS11S2005-014,MS10S3008-003,MS10S3058-024
MS11S2005-015,MS10S3008-003,MS10S3058-024
MS11S2005-016,MS10S3008-003,MS10S3058-024
MS11S2005-017,MS10S3008-003,MS10S3058-024
MS11S2005-018,MS10S3008-003,MS10S3058-024
MS11S2005-019,MS10S3008-003,MS10S3058-024
MS11S2005-020,MS10S3008-003,MS10S3058-024
MS11S2005-021,MS10S3008-003,MS10S3058-024
MS11S2005-022,MS10S3008-003,MS10S3058-024
MS11S2005-023,MS10S3008-003,MS10S3058-024
MS11S2005-024,MS10S3008-003,MS10S3058-024
MS11S2006-001,MS10S3008-004,MS10S3015-005
MS11S2006-002,MS10S3008-004,MS10S3015-005
MS11S2006-003,MS10S3008-004,MS10S3015-005
MS11S2006-004,MS10S3008-004,MS10S3015-005
MS11S2006-005,MS10S3008-004,MS10S3015-005
MS11S2006-006,MS10S3008-004,MS10S3015-005
MS11S2006-007,MS10S3008-004,MS10S3015-005
MS11S2006-008,MS10S3008-004,MS10S3015-005
MS11S2006-009,MS10S3008-004,MS10S3015-005
MS11S2006-010,MS10S3008-004,MS10S3015-005
MS11S2006-011,MS10S3008-004,MS10S3015-005
MS11S2006-012,MS10S3008-004,MS10S3015-005
MS11S2006-013,MS10S3008-004,MS10S3015-005
MS11S2006-014,MS10S3008-004,MS10S3015-005
MS11S2006-015,MS10S3008-004,MS10S3015-005
MS11S2006-016,MS10S3008-004,MS10S3015-005
MS11S2006-017,MS10S3008-004,MS10S3015-005
MS11S2006-018,MS10S3008-004,MS10S3015-005
MS11S2006-019,MS10S3008-004,MS10S3015-005
MS11S2006-020,MS10S3008-004,MS10S3015-005
MS11S2006-021,MS10S3008-004,MS10S3015-005
MS11S2006-022,MS10S3008-004,MS10S3015-005
MS11S2006-023,MS10S3008-004,MS10S3015-005
MS11S2006-024,MS10S3008-004,MS10S3015-005
MS11S2007-001,MS10S3008-005,MS10S3014-002
MS11S2007-002,MS10S3008-005,MS10S3014-002
MS11S2007-003,MS10S3008-005,MS10S3014-002
MS11S2007-004,MS10S3008-005,MS10S3014-002
MS11S2007-005,MS10S3008-005,MS10S3014-002
MS11S2007-006,MS10S3008-005,MS10S3014-002
MS11S2007-007,MS10S3008-005,MS10S3014-002
MS11S2007-008,MS10S3008-005,MS10S3014-002
MS11S2007-009,MS10S3008-005,MS10S3014-002
MS11S2007-010,MS10S3008-005,MS10S3014-002
MS11S2007-011,MS10S3008-005,MS10S3014-002
MS11S2007-012,MS10S3008-005,MS10S3014-002
MS11S2007-013,MS10S3008-005,MS10S3014-002
MS11S2007-014,MS10S3008-005,MS10S3014-002
MS11S2007-015,MS10S3008-005,MS10S3014-002
MS11S2007-016,MS10S3008-005,MS10S3014-002
MS11S2007-017,MS10S3008-005,MS10S3014-002
MS11S2007-018,MS10S3008-005,MS10S3014-002
MS11S2007-019,MS10S3008-005,MS10S3014-002
MS11S2007-020,MS10S3008-005,MS10S3014-002
MS11S2007-021,MS10S3008-005,MS10S3014-002
MS11S2007-022,MS10S3008-005,MS10S3014-002
