LineID,MatID,PatID
MS10S3009-024,M140,FEG183-52
MS10S3012-001,FEG183-52,M135
MS10S3012-002,FEG183-52,M135
MS10S3012-003,FEG183-52,M135
MS10S3012-004,FEG183-52,M135
MS10S3012-005,FEG183-52,M135
MS10S3012-006,FEG183-52,M135
MS10S3012-007,FEG183-52,M135
MS10S3012-008,FEG183-52,M135
MS10S3012-009,FEG183-52,M135
MS10S3012-010,FEG183-52,M135
MS10S3012-011,FEG183-52,M135
MS10S3012-012,FEG183-52,M135
MS10S3012-013,FEG183-52,M135
MS10S3012-014,FEG183-52,M135
MS10S3012-015,FEG183-52,M135
MS10S3012-016,FEG183-52,M135
MS10S3012-017,FEG183-52,M135
MS10S3012-018,FEG183-52,M135
MS10S3012-019,FEG183-52,M135
MS10S3012-020,FEG183-52,M135
MS10S3012-021,FEG183-52,M135
MS10S3012-022,FEG183-52,M135
MS10S3012-023,FEG183-52,M135
MS10S3012-024,FEG183-52,M135
MS10S3013-001,Quest,FEG183-52
MS10S3013-002,Quest,FEG183-52
MS10S3013-003,Quest,FEG183-52
MS10S3013-004,Quest,FEG183-52
MS10S3013-005,Quest,FEG183-52
MS10S3013-006,Quest,FEG183-52
MS10S3013-007,Quest,FEG183-52
MS10S3013-008,Quest,FEG183-52
MS10S3013-009,Quest,FEG183-52
MS10S3013-010,Quest,FEG183-52
MS10S3013-011,Quest,FEG183-52
MS10S3013-012,Quest,FEG183-52
MS10S3013-013,Quest,FEG183-52
MS10S3013-014,Quest,FEG183-52
MS10S3013-015,Quest,FEG183-52
MS10S3013-016,Quest,FEG183-52
MS10S3013-017,Quest,FEG183-52
MS10S3013-018,Quest,FEG183-52
MS10S3013-019,Quest,FEG183-52
MS10S3013-020,Quest,FEG183-52
MS10S3013-021,Quest,FEG183-52
MS10S3013-022,Quest,FEG183-52
MS10S3013-023,Quest,FEG183-52
MS10S3013-024,Quest,FEG183-52
MS10S3014-001,Quest,ND25728
MS10S3014-002,Quest,ND25728
MS10S3014-003,Quest,ND25728
MS10S3014-004,Quest,ND25728
MS10S3014-005,Quest,ND25728
MS10S3014-006,Quest,ND25728
MS10S3014-007,Quest,ND25728
MS10S3014-008,Quest,ND25728
MS10S3014-009,Quest,ND25728
MS10S3014-010,Quest,ND25728
MS10S3014-011,Quest,ND25728
MS10S3014-012,Quest,ND25728
MS10S3014-013,Quest,ND25728
MS10S3014-014,Quest,ND25728
MS10S3014-015,Quest,ND25728
MS10S3014-016,Quest,ND25728
MS10S3014-017,Quest,ND25728
MS10S3014-018,Quest,ND25728
MS10S3014-019,Quest,ND25728
MS10S3014-020,Quest,ND25728
MS10S3014-021,Quest,ND25728
MS10S3014-022,Quest,ND25728
MS10S3014-023,Quest,ND25728
MS10S3014-024,Quest,ND25728
MS10S3015-001,M135,ND24906
MS10S3015-002,M135,ND24906
MS10S3015-003,M135,ND24906
MS10S3015-004,M135,ND24906
MS10S3015-005,M135,ND24906
MS10S3015-006,M135,ND24906
MS10S3015-007,M135,ND24906
MS10S3015-008,M135,ND24906
MS10S3015-009,M135,ND24906
MS10S3015-010,M135,ND24906
MS10S3015-011,M135,ND24906
MS10S3015-012,M135,ND24906
MS10S3015-013,M135,ND24906
MS10S3015-014,M135,ND24906
MS10S3015-015,M135,ND24906
MS10S3015-016,M135,ND24906
MS10S3015-017,M135,ND24906
MS10S3015-018,M135,ND24906
MS10S3015-019,M135,ND24906
MS10S3015-020,M135,ND24906
MS10S3015-021,M135,ND24906
MS10S3015-022,M135,ND24906
MS10S3015-023,M135,ND24906
MS10S3015-024,M135,ND24906
MS10S3016-001,M138,ND25728
MS10S3016-002,M138,ND25728
MS10S3016-003,M138,ND25728
MS10S3016-004,M138,ND25728
MS10S3016-005,M138,ND25728
MS10S3016-006,M138,ND25728
MS10S3016-007,M138,ND25728
MS10S3016-008,M138,ND25728
MS10S3016-009,M138,ND25728
MS10S3016-010,M138,ND25728
MS10S3016-011,M138,ND25728
MS10S3016-012,M138,ND25728
MS10S3016-013,M138,ND25728
MS10S3016-014,M138,ND25728
MS10S3016-015,M138,ND25728
MS10S3016-016,M138,ND25728
MS10S3016-017,M138,ND25728
MS10S3016-018,M138,ND25728
MS10S3016-019,M138,ND25728
MS10S3016-020,M138,ND25728
MS10S3016-021,M138,ND25728
MS10S3016-022,M138,ND25728
MS10S3016-023,M138,ND25728
MS10S3016-024,M138,ND25728
MS10S3017-001,M139,ND25160
MS10S3017-002,M139,ND25160
MS10S3017-003,M139,ND25160
MS10S3017-004,M139,ND25160
MS10S3017-005,M139,ND25160
MS10S3017-006,M139,ND25160
MS10S3017-007,M139,ND25160
MS10S3017-008,M139,ND25160
MS10S3017-009,M139,ND25160
MS10S3017-010,M139,ND25160
MS10S3017-011,M139,ND25160
MS10S3017-012,M139,ND25160
MS10S3017-013,M139,ND25160
MS10S3017-014,M139,ND25160
MS10S3017-015,M139,ND25160
MS10S3017-016,M139,ND25160
MS10S3017-017,M139,ND25160
MS10S3017-018,M139,ND25160
MS10S3017-019,M139,ND25160
MS10S3017-020,M139,ND25160
MS10S3017-021,M139,ND25160
MS10S3017-022,M139,ND25160
MS10S3017-023,M139,ND25160
MS10S3017-024,M139,ND25160
MS10S3018-001,M141,ND25986
MS10S3018-002,M141,ND25986
MS10S3018-003,M141,ND25986
MS10S3018-004,M141,ND25986
MS10S3018-005,M141,ND25986
MS10S3018-006,M141,ND25986
MS10S3018-007,M141,ND25986
MS10S3018-008,M141,ND25986
MS10S3018-009,M141,ND25986
MS10S3018-010,M141,ND25986
MS10S3018-011,M141,ND25986
MS10S3018-012,M141,ND25986
MS10S3018-013,M141,ND25986
MS10S3018-014,M141,ND25986
MS10S3018-015,M141,ND25986
MS10S3018-016,M141,ND25986
MS10S3018-017,M141,ND25986
MS10S3018-018,M141,ND25986
MS10S3018-019,M141,ND25986
MS10S3018-020,M141,ND25986
MS10S3018-021,M141,ND25986
MS10S3018-022,M141,ND25986
MS10S3018-023,M141,ND25986
MS10S3018-024,M141,ND25986
MS10S3019-001,M141,ND26104
MS10S3019-002,M141,ND26104
MS10S3019-003,M141,ND26104
MS10S3019-004,M141,ND26104
MS10S3019-005,M141,ND26104
MS10S3019-006,M141,ND26104
MS10S3019-007,M141,ND26104
MS10S3019-008,M141,ND26104
MS10S3019-009,M141,ND26104
MS10S3019-010,M141,ND26104
MS10S3019-011,M141,ND26104
MS10S3019-012,M141,ND26104
MS10S3019-013,M141,ND26104
MS10S3019-014,M141,ND26104
MS10S3019-015,M141,ND26104
MS10S3019-016,M141,ND26104
MS10S3019-017,M141,ND26104
MS10S3019-018,M141,ND26104
MS10S3019-019,M141,ND26104
MS10S3019-020,M141,ND26104
MS10S3019-021,M141,ND26104
MS10S3019-022,M141,ND26104
MS10S3019-023,M141,ND26104
MS10S3019-024,M141,ND26104
MS10S3021-001,ND24906,FEG183-52
MS10S3021-002,ND24906,FEG183-52
MS10S3021-003,ND24906,FEG183-52
MS10S3021-004,ND24906,FEG183-52
MS10S3021-005,ND24906,FEG183-52
MS10S3021-006,ND24906,FEG183-52
MS10S3021-007,ND24906,FEG183-52
MS10S3021-008,ND24906,FEG183-52
MS10S3021-009,ND24906,FEG183-52
MS10S3021-010,ND24906,FEG183-52
MS10S3021-011,ND24906,FEG183-52
MS10S3021-012,ND24906,FEG183-52
MS10S3021-013,ND24906,FEG183-52
MS10S3021-014,ND24906,FEG183-52
MS10S3021-015,ND24906,FEG183-52
MS10S3021-016,ND24906,FEG183-52
MS10S3021-017,ND24906,FEG183-52
MS10S3021-018,ND24906,FEG183-52
MS10S3021-019,ND24906,FEG183-52
MS10S3021-020,ND24906,FEG183-52
MS10S3021-021,ND24906,FEG183-52
MS10S3021-022,ND24906,FEG183-52
MS10S3021-023,ND24906,FEG183-52
MS10S3021-024,ND24906,FEG183-52
MS10S3022-001,ND25160,M140
MS10S3022-002,ND25160,M140
MS10S3022-003,ND25160,M140
MS10S3022-004,ND25160,M140
MS10S3022-005,ND25160,M140
MS10S3022-006,ND25160,M140
MS10S3022-007,ND25160,M140
MS10S3022-008,ND25160,M140
MS10S3022-009,ND25160,M140
MS10S3022-010,ND25160,M140
MS10S3022-011,ND25160,M140
MS10S3022-012,ND25160,M140
MS10S3022-013,ND25160,M140
MS10S3022-014,ND25160,M140
MS10S3022-015,ND25160,M140
MS10S3022-016,ND25160,M140
MS10S3022-017,ND25160,M140
MS10S3022-018,ND25160,M140
MS10S3022-019,ND25160,M140
MS10S3022-020,ND25160,M140
MS10S3022-021,ND25160,M140
MS10S3022-022,ND25160,M140
MS10S3022-023,ND25160,M140
MS10S3022-024,ND25160,M140
MS10S3024-001,ND26036,M140
MS10S3024-002,ND26036,M140
MS10S3024-003,ND26036,M140
MS10S3024-004,ND26036,M140
MS10S3024-005,ND26036,M140
MS10S3024-006,ND26036,M140
MS10S3024-007,ND26036,M140
MS10S3024-008,ND26036,M140
MS10S3024-009,ND26036,M140
MS10S3024-010,ND26036,M140
MS10S3024-011,ND26036,M140
MS10S3024-012,ND26036,M140
MS10S3024-013,ND26036,M140
MS10S3024-014,ND26036,M140
MS10S3024-015,ND26036,M140
MS10S3024-016,ND26036,M140
MS10S3024-017,ND26036,M140
MS10S3024-018,ND26036,M140
MS10S3024-019,ND26036,M140
MS10S3024-020,ND26036,M140
MS10S3024-021,ND26036,M140
MS10S3024-022,ND26036,M140
MS10S3024-023,ND26036,M140
MS10S3024-024,ND26036,M140
MS10S3025-001,ND26104,Quest
MS10S3025-002,ND26104,Quest
MS10S3025-003,ND26104,Quest
MS10S3025-004,ND26104,Quest
MS10S3025-005,ND26104,Quest
MS10S3025-006,ND26104,Quest
MS10S3025-007,ND26104,Quest
MS10S3025-008,ND26104,Quest
MS10S3025-009,ND26104,Quest
MS10S3025-010,ND26104,Quest
MS10S3025-011,ND26104,Quest
MS10S3025-012,ND26104,Quest
MS10S3025-013,ND26104,Quest
MS10S3025-014,ND26104,Quest
MS10S3025-015,ND26104,Quest
MS10S3025-016,ND26104,Quest
MS10S3025-017,ND26104,Quest
MS10S3025-018,ND26104,Quest
MS10S3025-019,ND26104,Quest
MS10S3025-020,ND26104,Quest
MS10S3025-021,ND26104,Quest
MS10S3025-022,ND26104,Quest
MS10S3025-023,ND26104,Quest
MS10S3025-024,ND26104,Quest
MS10S3026-001,M138,6B04-0290
MS10S3026-002,M138,6B04-0290
MS10S3026-003,M138,6B04-0290
MS10S3026-004,M138,6B04-0290
MS10S3026-005,M138,6B04-0290
MS10S3026-006,M138,6B04-0290
MS10S3026-007,M138,6B04-0290
MS10S3026-008,M138,6B04-0290
MS10S3026-009,M138,6B04-0290
MS10S3026-010,M138,6B04-0290
MS10S3026-011,M138,6B04-0290
MS10S3026-012,M138,6B04-0290
MS10S3026-013,M138,6B04-0290
MS10S3026-014,M138,6B04-0290
MS10S3026-015,M138,6B04-0290
MS10S3026-016,M138,6B04-0290
MS10S3026-017,M138,6B04-0290
MS10S3026-018,M138,6B04-0290
MS10S3026-019,M138,6B04-0290
MS10S3026-020,M138,6B04-0290
MS10S3026-021,M138,6B04-0290
MS10S3026-022,M138,6B04-0290
MS10S3026-023,M138,6B04-0290
MS10S3026-024,M138,6B04-0290
MS10S3027-001,M139,6B05-0922
MS10S3027-002,M139,6B05-0922
MS10S3027-003,M139,6B05-0922
MS10S3027-004,M139,6B05-0922
MS10S3027-005,M139,6B05-0922
MS10S3027-006,M139,6B05-0922
MS10S3027-007,M139,6B05-0922
MS10S3027-008,M139,6B05-0922
MS10S3027-009,M139,6B05-0922
MS10S3027-010,M139,6B05-0922
MS10S3027-011,M139,6B05-0922
MS10S3027-012,M139,6B05-0922
MS10S3027-013,M139,6B05-0922
MS10S3027-014,M139,6B05-0922
MS10S3027-015,M139,6B05-0922
MS10S3027-016,M139,6B05-0922
MS10S3027-017,M139,6B05-0922
MS10S3027-018,M139,6B05-0922
MS10S3027-019,M139,6B05-0922
MS10S3027-020,M139,6B05-0922
MS10S3027-021,M139,6B05-0922
MS10S3027-022,M139,6B05-0922
MS10S3027-023,M139,6B05-0922
MS10S3027-024,M139,6B05-0922
MS10S3029-001,FEG183-52,Celebration
MS10S3029-002,FEG183-52,Celebration
MS10S3029-003,FEG183-52,Celebration
MS10S3029-004,FEG183-52,Celebration
MS10S3029-005,FEG183-52,Celebration
MS10S3029-006,FEG183-52,Celebration
MS10S3029-007,FEG183-52,Celebration
MS10S3029-008,FEG183-52,Celebration
MS10S3029-009,FEG183-52,Celebration
