Line,Cycle,Type,NC,SY,NS,DE
MS11S2068-008,C2,Ran,61502,16744,13286,254
MS11S2068-009,C2,Ran,60112,16643,13221,226
MS11S2069-019,C2,Sel,60789,16818,13358,206
MS11S2069-021,C2,Ran,60113,16694,13378,191
MS11S2070-002,C2,Ran,61362,16977,13585,197
MS11S2070-017,C2,Sel,61400,16998,13557,198
MS11S2070-018,C2,Sel,61566,17102,13609,207
MS11S2072-015,C2,Ran,60052,16524,13197,219
MS11S2072-017,C2,Ran,61605,16628,13300,225
MS11S2073-007,C2,Ran,59922,16335,13146,222
MS11S2073-009,C2,Ran,59837,16403,13077,236
MS11S2073-019,C2,Ran,61713,17153,13614,206
MS11S2075-014,C2,Sel,60835,16711,13312,235
MS11S2075-015,C2,Sel,62071,16763,13370,236
MS11S2075-016,C2,Ran,60876,16570,13241,237
MS11S2075-019,C2,Sel,59048,16162,12904,229
MS11S2076-002,C2,Sel,60137,16687,13160,202
MS11S2076-014,C2,Sel,59614,16447,13173,190
MS11S2076-019,C2,Sel,60070,16496,13121,207
MS11S2076-021,C2,Sel,58744,15934,12633,217
MS11S2076-022,C2,Sel,61370,16767,13378,218
MS11S2077-003,C2,Sel,59385,16335,13100,214
MS11S2077-013,C2,Sel,61713,16966,13589,243
MS11S2077-017,C2,Ran,61042,16807,13432,210
MS11S2077-023,C2,Ran,60832,16805,13422,209
MS11S2078-001,C2,Sel,60249,16576,13224,221
MS11S2078-006,C2,Ran,60855,16708,13356,225
MS11S2078-015,C2,Ran,60447,16666,13294,225
MS11S2078-017,C2,Sel,61774,16955,13368,231
MS11S2078-024,C2,Ran,62975,17302,13719,244
MS11S2079-016,C2,Ran,60339,16721,13077,208
MS11S2079-018,C2,Sel,59970,16404,13016,201
MS11S2079-024,C2,Ran,59758,16655,13191,182
MS11S2080-002,C2,Sel,58507,15866,12705,214
MS11S2080-004,C2,Sel,60257,16324,13060,207
MS11S2080-006,C2,Sel,61040,16835,13339,234
MS11S2080-007,C2,Sel,56689,15740,12568,199
MS11S2080-009,C2,Sel,60986,16802,13403,240
MS11S2080-010,C2,Sel,60685,16451,13198,239
MS11S2080-012,C2,Sel,59593,16369,13161,228
MS11S2080-015,C2,Sel,61440,16899,13590,247
MS11S2080-016,C2,Sel,61106,16737,13391,230
MS11S2080-017,C2,Sel,59833,16406,13188,222
MS11S2080-019,C2,Sel,61840,16983,13585,216
MS11S2082-001,C2,Sel,61235,16903,13617,208
MS11S2082-007,C2,Ran,61143,16871,13639,220
MS11S2082-014,C2,Sel,60268,16643,13285,214
MS11S2090-011,C2,Sel,62775,17256,13749,245
MS11S2090-013,C2,Sel,61620,17012,13626,236
MS11S2090-017,C2,Ran,61976,16981,13542,255
MS11S2090-020,C2,Sel,62996,17314,13750,250
MS11S2090-023,C2,Sel,63030,17374,13805,248
MS11S2091-010,C2,Ran,62138,17058,13658,198
MS11S2091-011,C2,Ran,61255,16822,13380,209
MS11S2091-015,C2,Sel,61573,16963,13493,201
MS11S2091-019,C2,Ran,61784,17166,13753,203
MS11S2092-011,C2,Ran,61542,16913,13489,235
MS11S2092-012,C2,Ran,62113,16968,13548,224
MS11S2092-013,C2,Ran,62440,16941,13634,233
MS12_2103-018,C3,Ran,59482,16257,12937,214
MS12_2104-024,C3,Ran,58166,16108,12799,201
MS12_2105-012,C3,Ran,57568,15615,12559,225
MS12_2107-004,C3,Ran,56868,15353,12393,212
MS12_2107-019,C3,Ran,57714,15372,12403,221
MS12_2107-021,C3,Sel,59100,15843,12684,213
MS12_2107-022,C3,Ran,58318,15512,12560,236
MS12_2108-009,C3,Sel,58993,16219,12860,216
MS12_2108-012,C3,Sel,59917,16350,13020,220
MS12_2108-016,C3,Sel,59464,16302,12952,222
MS12_2112-003,C3,Ran,60562,16638,13338,237
MS12_2113-002,C3,Ran,60561,16391,13012,240
MS12_2113-017,C3,Ran,59299,16171,12835,221
MS12_2113-022,C3,Ran,59030,15773,12673,234
MS12_2126-012,C3,Sel,59485,16496,13221,197
MS12_2126-013,C3,Sel,59002,16363,13218,183
MS12_2126-020,C3,Sel,60847,16892,13466,203
MS12_2128-004,C3,Ran,60611,16846,13507,228
MS12_2128-010,C3,Ran,60049,16728,13445,211
MS12_2128-014,C3,Ran,61681,17318,13924,226
MS12_2128-017,C3,Ran,60626,16845,13517,226
MS12_2131-014,C3,Ran,58616,16090,12916,213
MS12_2132-009,C3,Ran,61036,16649,13401,214
MS12_2134-013,C3,Ran,61331,16870,13641,227
MS12_2134-016,C3,Sel,59230,16078,13153,187
MS12_2135-017,C3,Ran,60674,16661,13169,200
MS12_2138-001,C3,Ran,58970,15924,12699,217
MS12_2138-014,C3,Ran,60231,16420,13087,232
MS12_2138-019,C3,Ran,59161,16001,12872,227
MS12_2139-001,C3,Sel,58735,16119,13054,191
MS12_2139-008,C3,Sel,61261,16790,13528,195
MS12_2139-009,C3,Sel,61275,16713,13313,215
MS12_2139-013,C3,Sel,59036,16316,13107,187
MS12_2139-015,C3,Sel,60066,16557,13382,208
MS12_2139-016,C3,Sel,61114,16751,13405,197
MS12_2139-022,C3,Sel,59483,16269,13083,192
MS12_2143-021,C3,Ran,60910,16691,13347,258
MS12_2144-008,C3,Ran,56205,15408,12356,217
MS12_2145-003,C3,Ran,60720,16585,13208,216
MS12_2145-016,C3,Sel,60673,16851,13313,214
MS12_2145-021,C3,Ran,62300,17250,13607,216
MS12_2148-004,C3,Ran,61377,16748,13297,214
MS12_2148-020,C3,Ran,57671,15933,12709,210
MS12_2149-002,C3,Sel,58688,15998,12779,227
MS12_2149-005,C3,Sel,59323,16181,12879,215
MS12_2149-006,C3,Sel,59139,16359,13004,228
MS12_2149-007,C3,Sel,58979,16317,12918,213
MS12_2149-009,C3,Sel,58571,16131,12781,217
MS12_2149-011,C3,Sel,60384,16447,13125,228
MS12_2149-022,C3,Sel,60720,16583,13140,240
MS12_2150-010,C3,Ran,59997,16692,13028,209
MS12_2151-002,C3,Sel,59836,16565,13071,190
MS12_2151-004,C3,Sel,59998,16589,13245,211
MS12_2151-018,C3,Ran,59733,16418,12980,203
MS12_2151-019,C3,Ran,62068,16983,13377,232
MS12_2158-006,C3,Sel,62766,17287,13735,206
MS12_2158-023,C3,Ran,61800,17034,13463,201
MS12_2158-024,C3,Ran,60678,16711,13287,201
MS12_2159-004,C3,Ran,60588,16782,13440,214
MS12_2159-006,C3,Ran,59165,16399,13131,202
MS12_2162-002,C3,Sel,58237,16073,12676,175
MS12_2162-003,C3,Sel,59337,16483,12993,190
MS12_2162-004,C3,Sel,58972,16069,12748,187
MS12_2162-010,C3,Sel,60437,16661,13154,197
MS12_2162-011,C3,Ran,59784,16537,13137,190
MS12_2162-013,C3,Sel,60934,17052,13498,185
MS12_2162-015,C3,Sel,59913,16793,13256,206
MS12_2162-016,C3,Sel,60606,16873,13338,200
MS12_2162-017,C3,Sel,59570,16657,13298,193
MS12_2162-019,C3,Sel,60628,16942,13425,201
MS12_2162-021,C3,Sel,60569,16777,13279,197
MS12_2162-024,C3,Sel,59566,16526,13063,183
MS12_2164-003,C3,Sel,58805,15917,12733,190
MS12_2164-005,C3,Sel,58437,15897,12638,189
MS12_2164-019,C3,Sel,58810,15958,12725,185
MS12_2164-020,C3,Ran,57806,15728,12539,190
MS12_2167-007,C3,Ran,60839,16741,13368,236
MS12_2170-002,C3,Ran,58417,16061,12795,200
MS12_2170-003,C3,Ran,59511,16251,12952,210
MS12_2170-016,C3,Ran,59448,16311,13023,212
MS12_2171-016,C3,Ran,59452,16157,12821,217
MS12_2175-013,C3,Ran,58688,16208,12908,212
MS12_2178-006,C3,Ran,60319,16521,13316,258
MS12_2178-013,C3,Ran,59352,16134,13046,235
MS12_2179-010,C3,Sel,60936,16611,13307,213
MS12_2179-018,C3,Sel,59391,16301,13030,208
MS12_2180-005,C3,Sel,60310,16650,13394,229
MS12_2180-011,C3,Sel,60118,16492,13156,228
MS12_2181-003,C3,Sel,59718,16408,12941,233
MS12_2181-008,C3,Sel,59487,16195,12954,220
MS12_2181-010,C3,Sel,58022,15607,12485,214
MS12_2181-014,C3,Sel,59814,16202,12937,239
MS12_2181-016,C3,Ran,59465,16315,12834,196
MS12_2182-022,C3,Sel,63483,17584,14139,221
MS12_2184-010,C3,Sel,60554,16798,13442,195
ND20448,C0,NA,63731,17141,13597,257
ND24906,C0,NA,63879,17485,13858,243
ND25160,C0,NA,62921,17215,13782,242
ND25652,C0,NA,62747,17354,13806,216
ND25728,C0,NA,62533,17185,13538,271
ND25986,C0,NA,63524,17594,14002,231
ND26036,C0,NA,64487,17537,13860,270
ND26104,C0,NA,64088,17508,13765,259
