Line,Cycle,Type,NC,SY,NS,DE
MS10S3013-022,C1,Ran,63810,17449,13954,232
MS10S3013-023,C1,Sel,63443,17333,13878,229
MS10S3013-024,C1,Ran,64100,17438,13919,248
MS10S3014-001,C1,Ran,60087,16483,13189,239
MS10S3014-002,C1,Ran,58820,15810,12718,252
MS10S3014-007,C1,Sel,61433,16644,13419,243
MS10S3014-009,C1,Ran,61231,16640,13241,236
MS10S3014-010,C1,Ran,61145,16652,13388,251
MS10S3014-013,C1,Ran,61303,16917,13535,248
MS10S3014-014,C1,Sel,61505,16490,13245,258
MS10S3014-017,C1,Ran,60892,16652,13368,231
MS10S3014-018,C1,Ran,60351,16586,13220,227
MS10S3014-019,C1,Ran,60413,16495,13315,265
MS10S3014-020,C1,Ran,62277,17001,13590,255
MS10S3014-021,C1,Ran,61941,16812,13394,242
MS10S3015-002,C1,Sel,61119,16490,13113,217
MS10S3015-003,C1,Ran,61488,16831,13333,220
MS10S3015-004,C1,Sel,62079,16777,13429,215
MS10S3015-005,C1,Ran,61417,16753,13374,217
MS10S3015-007,C1,Ran,62570,16938,13373,229
MS10S3015-008,C1,Ran,63005,17139,13708,217
MS10S3015-009,C1,Ran,61825,16899,13425,213
MS10S3015-010,C1,Ran,62357,17214,13732,220
MS10S3015-011,C1,Ran,63386,17108,13709,225
MS10S3015-017,C1,Ran,63420,17427,13921,229
MS10S3015-018,C1,Ran,63672,17294,13801,238
MS10S3015-019,C1,Ran,62012,16911,13362,228
MS10S3016-003,C1,Ran,55316,15296,12129,189
MS10S3016-004,C1,Ran,58414,16152,12920,208
MS10S3016-006,C1,Ran,57805,15796,12508,211
MS10S3016-008,C1,Ran,60420,16435,13036,249
MS10S3016-009,C1,Ran,57341,15824,12557,200
MS10S3016-011,C1,Ran,57448,15708,12530,213
MS10S3016-013,C1,Ran,57278,15734,12414,198
MS10S3016-014,C1,Ran,56969,15821,12585,212
MS10S3016-016,C1,Ran,57042,15767,12522,201
MS10S3016-017,C1,Ran,57873,15715,12672,217
MS10S3017-001,C1,Ran,61496,16731,13533,238
MS10S3017-002,C1,Ran,60369,16499,13453,249
MS10S3017-003,C1,Ran,60275,16239,12974,249
MS10S3017-004,C1,Ran,63191,17260,13943,260
MS10S3017-006,C1,Ran,59667,16279,13018,224
MS10S3017-010,C1,Ran,61084,16477,13116,230
MS10S3017-012,C1,Ran,64848,17607,14295,249
MS10S3017-013,C1,Ran,64525,17533,13969,254
MS10S3017-015,C1,Ran,63189,17168,13725,271
MS10S3017-020,C1,Ran,61665,17072,13693,230
MS10S3018-003,C1,Ran,64073,17631,14111,252
MS10S3018-004,C1,Ran,61952,17025,13672,227
MS10S3018-007,C1,Ran,63803,17274,13900,256
MS10S3018-009,C1,Ran,64235,17427,14020,267
MS10S3018-010,C1,Sel,62561,17008,13717,259
MS10S3018-013,C1,Ran,64113,17478,14087,250
MS10S3018-015,C1,Sel,61512,16816,13483,246
MS10S3018-016,C1,Ran,63131,17099,13763,249
MS10S3018-017,C1,Ran,61892,16982,13631,223
MS10S3018-018,C1,Ran,64388,17379,13945,271
MS10S3018-019,C1,Ran,62853,17226,13793,223
MS10S3018-020,C1,Ran,63712,17422,13926,242
MS10S3019-002,C1,Ran,61996,16992,13369,242
MS10S3019-003,C1,Ran,62633,17204,13885,227
MS10S3019-004,C1,Ran,62810,17157,13633,230
MS10S3019-005,C1,Ran,60029,16353,12980,223
MS10S3019-011,C1,Ran,63001,17219,13835,261
MS10S3019-012,C1,Ran,61640,16835,13354,208
MS10S3019-013,C1,Ran,64384,17486,13941,266
MS10S3019-014,C1,Sel,63486,17295,13752,277
MS10S3019-015,C1,Ran,59725,16484,13192,239
MS10S3019-016,C1,Ran,61883,16811,13503,230
MS10S3019-017,C1,Ran,62282,17103,13614,265
MS10S3019-023,C1,Sel,62802,17144,13738,223
MS10S3021-002,C1,Ran,62630,17368,13755,210
MS10S3021-003,C1,Ran,62509,17051,13471,223
MS10S3021-005,C1,Ran,63728,17493,13753,233
MS10S3021-008,C1,Ran,62917,17056,13554,224
MS10S3021-009,C1,Sel,61537,16977,13423,220
MS10S3021-013,C1,Ran,62108,17064,13581,215
MS10S3021-015,C1,Ran,62704,17006,13505,229
MS10S3021-016,C1,Ran,62393,17293,13661,220
MS10S3021-017,C1,Ran,61755,16783,13335,216
MS10S3021-019,C1,Ran,64266,17669,14085,214
MS10S3021-021,C1,Ran,62983,17269,13756,216
MS10S3022-001,C1,Ran,63084,17324,13832,216
MS10S3022-003,C1,Ran,63254,17341,13778,217
MS10S3022-004,C1,Ran,62699,17218,13669,210
MS10S3022-005,C1,Ran,62630,17166,13714,207
MS10S3022-007,C1,Ran,60705,16913,13469,214
MS10S3022-010,C1,Ran,62823,17090,13658,232
MS10S3022-011,C1,Ran,60638,16816,13424,208
MS10S3022-016,C1,Ran,62014,17065,13526,213
MS10S3022-019,C1,Ran,61022,16827,13457,216
MS10S3022-020,C1,Ran,62724,17216,13806,219
MS10S3024-001,C1,Ran,61762,16850,13331,264
MS10S3024-003,C1,Ran,61236,16678,13222,243
MS10S3024-004,C1,Ran,62927,17097,13542,253
MS10S3024-005,C1,Ran,62575,17158,13475,226
MS10S3024-007,C1,Ran,63267,17751,13912,211
MS10S3024-013,C1,Ran,63192,17257,13684,248
MS10S3024-014,C1,Ran,59741,16501,13010,221
MS10S3024-015,C1,Ran,63518,17354,13697,249
MS10S3024-016,C1,Ran,63824,17465,13769,241
MS10S3024-017,C1,Ran,63452,17304,13810,247
MS10S3025-001,C1,Ran,62586,17176,13716,253
